latitude,longitude,score
38.937868,-77.026461,6.5
38.882341,-77.111066,6.3
38.939317,-76.993996,6.8
38.880791,-77.115724,5.8
38.939044,-77.019249,6.6
38.880593,-77.114341,6.5
38.88938,-77.086835,8.9
38.887565,-77.094431,8.8
38.886373,-77.096883,8.8
38.880474,-77.086135,9.1
38.888656,-77.093617,7.6
38.88924,-77.090896,8.3
38.886287,-77.09513,6.4
38.88337,-77.099369,6.7
38.887038,-77.094415,7
38.887349,-77.093734,6.1
38.917462,-77.034516,6.6
38.887189,-77.095607,6.6
38.890109,-77.086608,6.7
38.891866,-77.084357,8
38.886966,-77.094108,6.9
38.89187,-77.075189,5.3
38.896799,-77.070477,6.3
38.892757,-77.080092,6.4
38.8973,-77.070002,6.2
38.896255,-77.026356,6.6
38.898042,-77.03326,9.3
38.897106,-77.024374,7.2
38.894905,-77.030212,5.6
38.898797,-77.022376,6.7
38.883616,-77.015542,6.7
38.897655,-77.032274,8.8
38.896693,-77.027644,7.5
38.892104,-77.025961,9.5
38.887554,-77.021926,9
38.885124,-77.021033,6
38.894312,-77.021498,6.7
38.877642,-77.018075,7
38.892979,-77.019328,9.5
38.882097,-76.995342,9
38.886604,-77.001719,8.6
38.885356,-76.996494,8.8
38.877811,-77.006494,7.8
38.88694,-77.002688,7.9
38.89758,-77.006158,6.7
38.882575,-76.994664,8
38.880459,-76.995342,6.5
38.887434,-77.003215,6.9
38.886678,-77.001787,9
38.876544,-77.003414,6.8
38.886363,-77.001227,5.9
38.883042,-76.994675,7.5
38.883152,-76.995287,6.1
38.879825,-76.985242,5.9
38.886603,-76.995808,6.8
38.880138,-76.98684,7.6
38.878064,-77.123571,5.4
38.878272,-77.121856,7.4
38.862132,-77.087583,8.9
38.863331,-77.084103,7.8
38.860954,-77.094186,8.7
38.925351,-76.99562,6.2
38.862679,-77.087275,7.8
38.862217,-77.091518,7.1
38.902872,-77.049545,7.7
38.864189,-77.063009,7.2
38.861455,-77.058747,7.6
38.97797,-77.027891,7.4
38.978005,-77.032973,6
38.863443,-77.062315,5.8
38.97797,-77.027891,6.6
38.863443,-77.062315,7.1
38.873437,-77.007411,9.4
38.863456,-76.990275,5.9
38.860089,-76.965383,4.9
38.852639,-77.132042,6.8
38.909003,-77.140598,6.2
38.878205,-77.111328,8.1
38.906445,-77.043427,5.7
38.870794,-76.908466,9
38.863664,-76.968637,7
38.901626,-77.121175,6.4
38.855046,-77.049719,7.2
38.842486,-77.050724,7.2
38.896349,-77.050096,8.1
38.896102,-77.050094,6.1
38.853804,-77.049725,5.9
38.883689,-76.977294,6.2
38.852142,-77.050045,5.6
38.85562,-77.048901,6.4
38.843085,-77.076301,4.9
38.84977,-77.051055,7.6
38.848722,-77.052297,6.5
38.897258,-77.04886,7
38.839291,-77.053333,5.7
38.851242,-77.040231,7.3
38.854713,-77.044236,5.1
38.851242,-77.040231,6.3
38.857615,-77.044343,6.2
38.851242,-77.040231,5
38.840048,-77.017193,5.3
38.853129,-76.909932,6.5
38.852427,-76.913432,6.4
38.848823,-76.882879,7
38.831575,-77.12503,6.9
38.922739,-77.095548,7.8
38.978005,-77.032973,7.7
38.826027,-77.058849,8.2
38.82167,-77.047165,9.1
38.842273,-77.052996,5.5
38.854909,-76.958124,6.7
38.821911,-76.88547,8.4
38.819523,-77.142937,8
38.810863,-77.132192,7.3
38.812316,-77.125153,6.8
38.813909,-77.136138,6.4
38.808967,-77.116744,5.7
38.807408,-77.133105,5.9
38.807685,-77.081148,7.4
38.805155,-77.134613,6.5
38.819086,-77.142142,5.2
38.807685,-77.081148,7.8
38.805369,-77.049517,8.2
38.80488,-77.060665,7
38.902943,-77.023968,7.5
38.804142,-77.060062,8.9
38.818419,-77.049608,7.1
38.810782,-77.044792,8.8
38.820273,-77.062729,7.3
38.80229,-77.071339,7.2
38.803812,-77.058325,8.1
38.805415,-77.047884,6.4
38.885972,-77.012236,6.4
38.802379,-77.070537,8.2
38.804195,-77.041058,8.5
38.80652,-77.041354,8
38.814586,-77.040187,7.8
38.804513,-77.040797,6.5
38.822205,-77.00196,7.2
38.803859,-76.9888,5.4
38.822138,-76.921881,8.1
39.006784,-77.157383,7.6
39.006784,-77.157383,8.3
38.780834,-77.116707,6.5
38.795101,-77.136764,5.6
38.914112,-77.023563,8.4
38.801176,-77.074074,5.3
38.784567,-77.017031,7.2
38.784586,-77.016972,6.6
38.794074,-76.926758,6.4
38.770764,-77.137857,7.4
38.771614,-77.138559,6.5
38.780597,-77.076285,5.5
38.776598,-77.062005,6.2
38.78286,-77.01554,7
38.822206,-77.001997,7.3
38.782821,-76.895541,6.6
38.823046,-76.922379,6.9

